Study,Time,Conc.,SD,Unit,Dose,BW,Dtmes,Matrix,Route,Comp.,Spieces
1,1.375,0.820891416,NA,ug/mL,3.33,60.2,1,P,TD,FLU,Cattle
1,4.125,0.936329209,NA,ug/mL,3.33,60.2,1,P,TD,FLU,Cattle
1,6.125,0.785666246,NA,ug/mL,3.33,60.2,1,P,TD,FLU,Cattle
1,8.125,0.464158883,NA,ug/mL,3.33,60.2,1,P,TD,FLU,Cattle
1,12,0.326802759,NA,ug/mL,3.33,60.2,1,P,TD,FLU,Cattle
1,23.875,0.064494668,NA,ug/mL,3.33,60.2,1,P,TD,FLU,Cattle
1,35.875,0.018077687,NA,ug/mL,3.33,60.2,1,P,TD,FLU,Cattle
1,47.75,0.006888033,NA,ug/mL,3.33,60.2,1,P,TD,FLU,Cattle
1,55.75,0.002624506,NA,ug/mL,3.33,60.2,1,P,TD,FLU,Cattle
2,0.980392157,0.554863359,NA,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,1.960784314,0.973581007,NA,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,6.209150327,0.793847169,0.285882847,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,8.496732026,0.591330015,0.212951705,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,16.33986928,0.200456522,0.113280083,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,24.50980392,0.282157187,0.170040095,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,32.02614379,0.677605772,0.330033153,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,40.19607843,0.269306373,0.190724076,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,48.03921569,0.18634166,0.097460247,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,56.20915033,0.678489058,0.256966266,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,64.05228758,0.292582133,0.135666924,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,72.22222222,0.136897817,0.118858181,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
2,80.39215686,0.073059924,0.059146275,ug/mL,3.33,NA,3,P,TD,FLU,Cattle
