Study,Time,Conc.,SD,Unit,Dose,Dtmes,Matrix,Route,Comp.,Spieces,BW
1,1.146496815,0.002682696,NA,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,2.522292994,0.008925967,0.008001201,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,3.439490446,0.00977461,0.008548335,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,4.50955414,0.009881817,0.005101852,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,6.343949045,0.012050332,0.004720557,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,8.331210191,0.011601151,0.003904578,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,12.15286624,0.009315101,0.003066878,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,15.97452229,0.007737038,0.002732664,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,24.22929936,0.005744296,0.002945753,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,36,0.004623076,0.001686877,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,47.92356688,0.003957333,NA,ug/mL,3.33,1,P,TD,FLU,Swine,223
1,71.61783439,0.00231013,NA,ug/mL,3.33,1,P,TD,FLU,Swine,223
2,4.9,0.009847563,NA,ug/mL,3.33,1,P,TD,FLU,Swine,3.4
2,11.4,0.008565931,0.004678886,ug/mL,3.33,1,P,TD,FLU,Swine,3.4
2,15.46,0.006838012,0.021530111,ug/mL,3.33,1,P,TD,FLU,Swine,3.4
2,23.52,0.005403034,0.020589899,ug/mL,3.33,1,P,TD,FLU,Swine,3.4
2,35.74,0.004355815,0.0135442,ug/mL,3.33,1,P,TD,FLU,Swine,3.4
2,47.48,0.003515721,0.009649667,ug/mL,3.33,1,P,TD,FLU,Swine,3.4
2,59.37,0.00301629,0.009067952,ug/mL,3.33,1,P,TD,FLU,Swine,3.4
2,71.83,0.00213,0.014562588,ug/mL,3.33,1,P,TD,FLU,Swine,3.4
